Priority,Tier,Topic,URL,Impressions,CTR,Position,Current Title,Current Meta Description,Recommended Title 1,Recommended Title 2,Recommended Title 3,Recommended Meta 1,Recommended Meta 2,Core Fix
11,Tier 2,CTR Formula,https://cxl.com/guides/click-through-rate/ppc/,"21,000",0.00%,1.9,"PPC Click-Through-Rate: What it Means and How to Use It (and Improve It)","Click-through rate (CTR) is one of the most important metrics you should be monitoring when implementing paid customer acquisition.","CTR Formula: How to Calculate Click-Through Rate (+ Benchmarks and Tips to Improve)","Click-Through Rate Formula: CTR = Clicks ÷ Impressions × 100 — Explained","How to Calculate CTR: The Click-Through Rate Formula, Benchmarks & Optimization","CTR = (Clicks ÷ Impressions) × 100. Simple formula, but knowing what's a 'good' CTR depends on channel and industry. This guide covers the formula, benchmarks by channel, and what actually moves the number.","The click-through rate formula is straightforward — clicks divided by impressions. What matters is knowing whether your CTR is competitive and how to improve it. Benchmarks and tactics inside.","Title says 'PPC' but query is broader — put the actual formula in title and meta"
12,Tier 2,Logical Fallacies,https://cxl.com/blog/logical-fallacies-optimization/,"22,900",1.40%,2.9,"6 Logical Fallacies That Can Ruin Your Growth","Learn about 6 logical fallacies that can hinder your growth and testing program effectiveness in conversion optimization.","Logical Fallacies: What They Are, Why They're Dangerous, and 6 to Avoid","6 Common Logical Fallacies — Defined, With Examples and How to Spot Them","What Are Logical Fallacies? 6 Types That Distort Reasoning and Decision-Making","Logical fallacies are flawed reasoning patterns that look convincing but lead to wrong conclusions. Here are 6 of the most common ones — defined, with examples and how to catch them.","From confirmation bias to survivorship bias — these 6 logical fallacies show up in everyday decisions, business strategy, and data analysis. Learn to recognize and reject them.","'Ruin Your Growth' framing is too narrow for broad informational query — match broader intent"
13,Tier 2,Unique Selling Proposition (USP),https://cxl.com/blog/unique-selling-proposition-examples/,"20,000",0.30%,7.5,"Unique Selling Proposition Examples: 21 Brands That Get USP Right","Discover effective unique selling propositions (USPs) from 21 brands that stand out in their markets. Learn how to define your own USP and harness its power in marketing.","Unique Selling Proposition (USP): What It Is, How to Write One, and 21 Real Examples","What Is a Unique Selling Proposition? Definition + 21 Strong USP Examples","How to Write a Unique Selling Proposition That Sticks (+ 21 Brand Examples)","A unique selling proposition is the one clear reason customers should choose you over everyone else. Here's how to write a strong USP, with 21 examples from brands that get it right.","Most USPs are weak because they describe features, not differentiation. This guide shows what a real USP looks like — with 21 examples from brands that have nailed it.","Examples-first title misses users wanting definition — broaden to cover concept + examples"
14,Tier 2,Open-Ended Questions,https://cxl.com/blog/open-ended-questions/,"16,000",0.01%,1.8,"Open-Ended Questions in Marketing Research | CXL","Discover the importance of open-ended questions in marketing research and how they can foster deeper insights and connections with customers.","Open-Ended Questions: 50+ Examples and When to Use Each One","What Are Open-Ended Questions? Definition + Examples for Surveys, Research & More","40+ Open-Ended Question Examples — With Tips on How to Get Useful Answers","Open-ended questions let respondents answer in their own words — giving you richer, more actionable insights. Here are 40+ examples across surveys, interviews, and customer research.","Unlike yes/no questions, open-ended questions reveal what people actually think. This guide covers when to use them, how to write them well, and includes 40+ real examples.","'Marketing research' framing is too narrow — searchers want examples across any context"
15,Tier 3,Social Proof,https://cxl.com/blog/is-social-proof-really-that-important/,"34,000",0.34%,5.5,"Social Proof: Definition, Types, Examples & How to Work With It","Discover what social proof is, the different types, and how to effectively use it on your landing pages to boost trust and conversions.","Social Proof: What It Is, Why It Works, and 6 Types You Can Use Today","What Is Social Proof? Definition, Psychology, and 6 Types With Examples","Social Proof: The Psychology Behind It and How to Apply It Across Your Marketing","Social proof is the tendency to look to others when making decisions — and it's one of the most powerful conversion levers you have. Here are the 6 types and how to deploy each one.","Reviews, testimonials, case studies, follower counts — all forms of social proof. This guide explains the psychology behind why it works and how to use each type effectively.","Meta narrows to landing pages — social proof is much broader. Lead with the psychology hook"
16,Tier 3,Click-Through Rate Benchmarks,https://cxl.com/guides/click-through-rate/benchmarks/,"25,000",0.11%,8.6,"What Is a ""Good"" Click-Through Rate? | CTR Benchmarks | CXL","This article covers the concept of click-through rate (CTR), its importance in digital marketing, and provides benchmarks across industries to help you evaluate your performance.","What's a Good Click-Through Rate? CTR Benchmarks by Channel and Industry","Click-Through Rate Benchmarks: What's Good for Email, Ads, and Organic Search?","What Is a Good Click-Through Rate? Industry Benchmarks to Measure Against","'Good' CTR depends entirely on the channel. Email averages 2–3%, Google Ads 4–6%, organic search varies by position. Here are the benchmarks you should actually be measuring against.","CTR benchmarks vary widely — what's good for a display ad would be terrible for organic search. This guide gives you the real numbers by channel, industry, and placement type.","Meta opens with 'This article covers' — replace with actual benchmark numbers upfront"
17,Tier 3,Paid Media,https://cxl.com/blog/paid-media/,"22,000",0.10%,5.5,"Paid Media: Definition, Channels, and Tactics (+ Examples)","Discover how paid media amplifies marketing campaigns and accelerates results. Learn about paid media channels, best practices, and tips to optimize your marketing strategy.","Paid Media: What It Is, Which Channels to Use, and How to Make It Work","Paid Media Explained: Channels, Tactics, and How It Fits Into Your Marketing Mix","Paid Media vs. Owned vs. Earned: What It Is and How to Build a Strategy","Paid media covers everything you pay to place — search ads, social ads, display, sponsored content, and more. This guide breaks down every major channel and how to build a strategy around them.","Paid, owned, earned — paid media is the accelerator. This guide covers what it is, which channels deserve your budget, and the tactics that make paid media work harder.","Meta is generic filler — replace with channel specifics to signal real value"
18,Tier 3,Hero Image,https://cxl.com/blog/hero-image/,"20,000",0.21%,4.4,"Hero Image: The Marketer's Guide (+26 Examples)","The design of your website is more important for conversions than you think. Hero images, when done correctly, contextualize and complement a value proposition to increase the clarity of a page.","Hero Image: What It Is, Why It Matters, and 26 Examples That Convert","What Is a Hero Image? Definition, Best Practices, and 26 Real Examples","The Hero Image: Definition, Design Tips, and 26 Examples Worth Studying","A hero image is the large visual at the top of a webpage — and it's often the single biggest factor in whether visitors stay or leave. Here's how to design one that works, with 26 examples.","Your hero image is the first thing visitors see. Get it wrong and they bounce. This guide explains what makes a hero image effective, with 26 examples of good and bad ones.","Meta is a setup paragraph, not a snippet — front-load with definition and outcome"
19,Tier 3,Competitive Analysis,https://cxl.com/blog/competitive-analysis/,"18,000",0.03%,11.7,"How To Do a Competitive Analysis (8 Steps With Expert Tips)","Learn the essential steps to perform a competitive analysis effectively, from setting goals to conducting usability investigations and identifying market positioning.","Competitive Analysis: How to Do It in 8 Steps (With Templates and Examples)","How to Do a Competitive Analysis: An 8-Step Framework That Actually Surfaces Insights","Competitive Analysis: The 8-Step Framework to Find Gaps and Win Market Position","A competitive analysis tells you where you stand, where competitors are strong, and where there are gaps to exploit. Here's an 8-step process to do one that leads to real decisions.","Most competitive analyses produce a slide deck nobody acts on. This guide shows you how to run one that surfaces real opportunities — in 8 structured steps.","'Usability investigations' is oddly technical — speak to outcome (find gaps, win position)"
20,Tier 3,Landing Page Optimization,https://cxl.com/blog/landing-page-optimization/,"9,800",0.16%,12.0,"Landing page optimization process for high conversion rates","Many companies invest heavily in driving traffic but overlook whether their landing pages are built to convert that traffic. This blog explores how ads and landing pages work as a single system...","Landing Page Optimization: A Step-by-Step Process for Higher Conversion Rates","How to Optimize Landing Pages: The CRO Process That Converts More Visitors","Landing Page Optimization Guide: From Audit to Testing to Measurable Lifts","Landing page optimization isn't about changing button colors — it's a structured process: research, hypothesis, test, analyze. Here's how to run it properly and what to prioritize first.","Most landing pages underperform because they're built on assumptions, not data. This guide walks through the full optimization process — from diagnosing leaks to running tests that stick.","Title is all lowercase (looks unprofessional in SERP) — fix casing and replace 'this blog explores' meta"
